ID_ChEMBL,Ten_Thuoc,SMILES
CHEMBL23,DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
CHEMBL24,ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
CHEMBL25,ASPIRIN,CC(=O)Oc1ccccc1C(=O)O
CHEMBL422,TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
CHEMBL423,BETAXOLOL,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
CHEMBL425,OLSALAZINE,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
CHEMBL27,PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12
CHEMBL6995,PRACTOLOL,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
CHEMBL427,MECHLORETHAMINE,CN(CCCl)CCCl
CHEMBL29,PENICILLIN G,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
CHEMBL428,TROVAFLOXACIN,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
CHEMBL30,CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
CHEMBL31,GATIFLOXACIN,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
CHEMBL429,LABETALOL,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
CHEMBL32,MOXIFLOXACIN,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
CHEMBL33,LEVOFLOXACIN ANHYDROUS,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
CHEMBL430,GEMIFLOXACIN,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN
CHEMBL431,SPIRAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
CHEMBL433,VALPROATE SODIUM,CCCC(CCC)C(=O)[O-].[Na+]
CHEMBL434,ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1
CHEMBL435,HYDROCHLOROTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
CHEMBL35,FUROSEMIDE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
CHEMBL36,PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
CHEMBL436,TOLRESTAT,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
CHEMBL437,SULFATHIAZOLE,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
CHEMBL438,SULFAMERAZINE,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
CHEMBL439,SULFADIAZINE,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
CHEMBL440,THIAMYLAL,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
CHEMBL441,THIOPENTAL,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
CHEMBL268164,CYCLOBARBITAL,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
CHEMBL442,ERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
CHEMBL38,TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
CHEMBL7413,METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
CHEMBL40,PHENOBARBITAL,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
CHEMBL41,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
CHEMBL443,SULFAMETHOXAZOLE,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
CHEMBL42,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
CHEMBL445,NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21
CHEMBL446,SULFAMETHAZINE,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
CHEMBL447,SECOBARBITAL,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
CHEMBL448,PENTOBARBITAL,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
CHEMBL7568,QUINACRINE,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
CHEMBL267894,AMOBARBITAL,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
CHEMBL7728,HEXOBARBITAL,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
CHEMBL449,BUTABARBITAL,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
CHEMBL7863,APROBARBITAL,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
CHEMBL450,METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O
CHEMBL451,CHLORDIAZEPOXIDE,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
CHEMBL266349,MELAGATRAN,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1
CHEMBL452,CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
CHEMBL453,SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
CHEMBL268869,SULFAMETHOXYPYRIDAZINE,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
CHEMBL454,BUTALBITAL,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
CHEMBL455,SULFACETAMIDE,CC(=O)NS(=O)(=O)c1ccc(N)cc1
CHEMBL43,AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
CHEMBL456,ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
CHEMBL267744,TICRYNAFEN,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
CHEMBL457,GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
CHEMBL45,MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
CHEMBL46,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
CHEMBL49,BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
CHEMBL459,METHYLDOPA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL460,MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
CHEMBL53,APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
CHEMBL54,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
CHEMBL55,PENTAMIDINE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
CHEMBL463,AMINOHIPPURIC ACID,Nc1ccc(C(=O)NCC(=O)O)cc1
CHEMBL464,ETRETINATE,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
CHEMBL57,NEVIRAPINE,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
CHEMBL465,DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
CHEMBL58,MITOXANTRONE,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
CHEMBL59,DOPAMINE,NCCc1ccc(O)c(O)c1
CHEMBL467,HYDROXYUREA,NC(=O)NO
CHEMBL61,PODOFILOX,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
CHEMBL64,ISONIAZID,NNC(=O)c1ccncc1
CHEMBL468,THALIDOMIDE,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
CHEMBL469,KETOROLAC,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
CHEMBL471,SOTALOL,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
CHEMBL472,GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
CHEMBL9225,HEXESTROL,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
CHEMBL473,DOFETILIDE,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
CHEMBL476,DACARBAZINE,CN(C)/N=N/c1[nH]cnc1C(N)=O
CHEMBL477,ADENOSINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL479,THIORIDAZINE,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
CHEMBL480,LANSOPRAZOLE,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
CHEMBL481,IRINOTECAN,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
CHEMBL70,MORPHINE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
CHEMBL485,CODEINE,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
CHEMBL71,CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
CHEMBL72,DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21
CHEMBL488,AMINOGLUTETHIMIDE,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL74,CROMOLYN SODIUM,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+]
CHEMBL76,CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
CHEMBL490,PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
CHEMBL416146,ETORICOXIB,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1
CHEMBL79,LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C
CHEMBL492,ETIDOCAINE,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
CHEMBL80,NALOXONE,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
CHEMBL81,RALOXIFENE,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
CHEMBL83,TAMOXIFEN,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
CHEMBL493,BROMOCRIPTINE,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
CHEMBL494,ILOPROST,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
CHEMBL84,TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
CHEMBL85,RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
CHEMBL428880,CROMOLYN,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
CHEMBL86,METOCLOPRAMIDE,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
CHEMBL428647,PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
CHEMBL495,ALPROSTADIL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
CHEMBL496,HEXACHLOROPHENE,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
CHEMBL497,CLIOQUINOL,Oc1c(I)cc(Cl)c2cccnc12
CHEMBL10878,AGOMELATINE,COc1ccc2cccc(CCNC(C)=O)c2c1
CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,O=P1(N(CCCl)CCCl)NCCCO1
CHEMBL498,CHLORPROPAMIDE,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
CHEMBL499,TIMOLOL,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
CHEMBL500,PINDOLOL,CC(C)NCC(O)COc1cccc2[nH]ccc12
CHEMBL276832,HYDRALAZINE,NNc1nncc2ccccc12
CHEMBL501,AMPHETAMINE SULFATE,CC(N)Cc1ccccc1.O=S(=O)(O)O
CHEMBL267345,AMPHOTERICIN B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
CHEMBL90,HISTAMINE,NCCc1c[nH]cn1
CHEMBL91,MICONAZOLE,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
CHEMBL92,DOCETAXEL ANHYDROUS,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
CHEMBL93,ZILEUTON,CC(c1cc2ccccc2s1)N(O)C(N)=O
CHEMBL95,TACRINE,Nc1c2c(nc3ccccc13)CCCC2
CHEMBL502,DONEPEZIL,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
CHEMBL503,LOVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CHEMBL11662,OZAGREL,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1
CHEMBL269644,ACETANILIDE,CC(=O)Nc1ccccc1
CHEMBL504,DIMETHYL SULFOXIDE,C[S+](C)[O-]
CHEMBL505,CHLORPHENIRAMINE,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
CHEMBL506,PRIMAQUINE,COc1cc(NC(C)CCCN)c2ncccc2c1
CHEMBL509,MECLOFENAMIC ACID,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
CHEMBL511,PYRILAMINE,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
CHEMBL12713,SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
CHEMBL513,CARMUSTINE,O=NN(CCCl)C(=O)NCCCl
CHEMBL514,LOMUSTINE,O=NN(CCCl)C(=O)NC1CCCCC1
CHEMBL515,CHLORAMBUCIL,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
CHEMBL516,CYPROHEPTADINE,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
CHEMBL12856,INAMRINONE,Nc1cc(-c2ccncc2)c[nH]c1=O
CHEMBL517,DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
CHEMBL98,VORINOSTAT,O=C(CCCCCCC(=O)Nc1ccccc1)NO
CHEMBL521,IBUPROFEN,CC(C)Cc1ccc(C(C)C(=O)O)cc1
CHEMBL13376,CLOMETACIN,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
CHEMBL13280,FLUNITRAZEPAM,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
CHEMBL524,METHOXAMINE,COc1ccc(OC)c(C(O)C(C)N)c1
CHEMBL526,PROPOFOL,CC(C)c1cccc(C(C)C)c1O
CHEMBL527,PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
CHEMBL528,CEFTIZOXIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1
CHEMBL101,PHENYLBUTAZONE,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
CHEMBL529,AZITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
CHEMBL530,AMDINOCILLIN,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
CHEMBL531,PERGOLIDE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
CHEMBL532,ERYTHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
CHEMBL533,IBUTILIDE,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
CHEMBL103,PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL534,KETOTIFEN,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
CHEMBL537,HYDROQUINONE,Oc1ccc(O)cc1
CHEMBL539,ACETIC ACID,CC(=O)O
CHEMBL14060,PHENOL,Oc1ccccc1
CHEMBL544,MEQUINOL,COc1ccc(O)cc1
CHEMBL104,CLOTRIMAZOLE,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
CHEMBL105,MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
CHEMBL545,ALCOHOL,CCO
CHEMBL546,OXPRENOLOL,C=CCOc1ccccc1OCC(O)CNC(C)C
CHEMBL106,FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL547,ISOTRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
CHEMBL14376,ILOPERIDONE,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
CHEMBL548,DINOPROSTONE,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
CHEMBL278020,NEOSTIGMINE,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
CHEMBL14370,REBOXETINE,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
CHEMBL549,CITALOPRAM,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
CHEMBL550,PILOCARPINE,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
CHEMBL107,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
CHEMBL553,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
CHEMBL554,LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CHEMBL108,CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21
CHEMBL109,VALPROIC ACID,CCCC(CCC)C(=O)O
CHEMBL277100,TEMAFLOXACIN,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
CHEMBL110,BENZNIDAZOLE,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
CHEMBL556,DEFEROXAMINE,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
CHEMBL558,MEXILETINE,Cc1cccc(C)c1OCC(C)N
CHEMBL559,DEXTROTHYROXINE,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
CHEMBL111,RIMONABANT,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
CHEMBL273575,NOMIFENSINE,CN1Cc2c(N)cccc2C(c2ccccc2)C1
CHEMBL561,LOMEFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
CHEMBL562,GRISEOFULVIN,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
CHEMBL563,FLURBIPROFEN,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
CHEMBL564,PROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccccc21
CHEMBL565,CLOFIBRATE,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
CHEMBL112,ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1
CHEMBL113,CAFFEINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O
CHEMBL16073,PHENACETIN,CCOc1ccc(NC(C)=O)cc1
